individu	masse_grains	parcelle
1	NA	Nord
2	92.1	Nord
3	89.4	Nord
4	42.6	Nord
5	43.2	Nord
6	44.1	Nord
7	50.7	Nord
8	88.2	Nord
9	108.6	Nord
10	78.8	Nord
11	42.9	Nord
12	90.4	Nord
13	99.9	Nord
14	84.6	Nord
15	99.6	Nord
16	88.8	Nord
17	46.8	Nord
18	82.8	Sud
19	90.6	Sud
20	56.4	Sud
21	63.3	Sud
22	59.7	Sud
23	86.4	Sud
24	83.4	Sud
25	91.2	Sud
26	101.1	Sud
27	84.9	Sud
28	78.6	Sud
29	81.3	Sud
30	85.5	Sud
31	81.9	Sud
32	NA	Est
33	86.1	Est
34	102.9	Est
35	43.8	Est
36	126.3	Est
37	102.6	Est
38	87.9	Est
39	78.9	Est
40	140.1	Est
41	108.3	Est
42	84	Est
43	103.5	Est
44	110.7	Est
45	98.7	Est
46	81.6	Est
47	135	Est
48	42.9	Est
49	113.4	Est
50	98.4	Est
51	102.4	Est
52	39.6	Est
53	116.7	Est
54	101.4	Est
55	112.2	Est
56	39	Est
57	120.9	Est
58	51.1	Est
59	124.8	Est
60	90.9	Est
61	114.6	Est
62	116.9	Est
63	96	Est
64	136.8	Est
65	NA	Ouest
66	134.7	Ouest
67	45.3	Ouest
68	76.8	Ouest
69	110	Ouest
70	101.4	Ouest
71	105.6	Ouest
72	114.6	Ouest
73	129	Ouest
74	21.9	Ouest
75	60.9	Ouest
76	87	Ouest
77	101.4	Ouest
78	121.8	Ouest
79	45.6	Ouest
80	48.9	Ouest
81	57.6	Ouest
82	137.1	Ouest
83	117.3	Ouest
84	127.5	Ouest
85	75.6	Ouest
86	49.8	Ouest
87	70.2	Ouest
88	46.2	Ouest
89	126.6	Ouest
90	66	Ouest
91	30	Ouest
92	152.7	Ouest
93	137.1	Ouest
94	114.6	Ouest
95	115.5	Ouest
96	41.7	Ouest
97	58.2	Ouest
98	51.9	Ouest
99	128.1	Ouest
100	101.4	Ouest
## Fichier mais.txt de l'ouvrage ""Comprendre et réaliser les tests statistiques à l'aide de R"", Gael Millot, éditions de Boeck"		
## Contenu protégé par copyright		
## Copyright document - for non commercial use		
## 07-01-2009 rev1		
