Individu	Hauteur	Masse	Nb.grains	Masse.grains	Couleur	Germination.epi	Enracinement	Verse	Attaque	Parcelle	Hauteur.J7	Verse.Traitement	Nb.jours.attaque	Censure.droite
1	NA	NA	NA	NA	NA	NA	Faible	NA	Oui	Nord	171	NA	NA	NA
2	199	1431	320	92.1	Rouge	Non	Moyen	Non	Non	Nord	196	Oui	NA	NA
3	205	1468	290	89.4	Jaune	Non	Moyen	Oui	Non	Nord	198	Oui	NA	NA
4	173	1398	147	42.6	Jaune	Non	Faible	Oui	Non	Nord	176	Oui	NA	NA
5	233	1622	138	43.2	Rouge	Non	Tres.fort	Oui	Non	Nord	230	Oui	NA	NA
6	206	1428	166	44.1	Jaune	Non	Moyen	Oui	Non	Nord	200	Non	NA	NA
7	261	1574	151	50.7	Jaune	Non	Moyen	Oui	Non	Nord	266	Oui	NA	NA
8	155	1215	293	88.2	Jaune.rouge	Non	Faible	Non	Non	Nord	176	Oui	NA	NA
9	214	1457	345	108.6	Jaune.rouge	Non	Moyen	Non	Non	Nord	220	Oui	NA	NA
10	174	1368	234	78.8	Rouge	Non	Fort	Non	Non	Nord	182	Oui	NA	NA
11	207	1355	142	42.9	Rouge	Non	Moyen	Non	Non	Nord	202	Oui	NA	NA
12	196	1469	301	90.4	Rouge	Non	Moyen	Oui	Non	Nord	188	Oui	NA	NA
13	224	1474	311	99.9	Jaune	Non	Fort	Oui	Non	Nord	222	Non	NA	NA
14	237	1599	273	84.6	Jaune	Non	Moyen	Non	Non	Nord	220	Oui	NA	NA
15	210	1437	307	99.6	Jaune	Non	Moyen	Oui	Non	Nord	205	Oui	NA	NA
16	187	1282	303	88.8	Jaune.rouge	Non	Faible	Non	Non	Nord	187	Oui	NA	NA
17	211	1505	156	46.8	Jaune.rouge	Non	Tres.fort	Oui	Non	Nord	208	Non	NA	NA
18	215	1491	278	82.8	Rouge	Non	Moyen	Oui	Oui	Sud	214	Oui	NA	NA
19	242	1830	288	90.6	Jaune	Non	Faible	Oui	Non	Sud	231	Oui	NA	NA
20	197	1448	263	56.4	Rouge	Non	Fort	Non	Non	Sud	201	Non	NA	NA
21	265	1881	252	63.3	Rouge	Non	Moyen	Non	Non	Sud	250	Oui	NA	NA
22	227	1376	276	59.7	Jaune.rouge	Non	Fort	Oui	Non	Sud	217	Non	NA	NA
23	244	1667	283	86.4	Rouge	Non	Faible	Non	Non	Sud	260	Oui	NA	NA
24	222	1518	271	83.4	Jaune	Non	Faible	Oui	Non	Sud	231	Oui	NA	NA
25	238	1729	296	91.2	Jaune	Non	Moyen	Oui	Non	Sud	231	Oui	NA	NA
26	235	1596	304	101.1	Rouge	Non	Moyen	Oui	Non	Sud	230	Non	NA	NA
27	217	1462	287	84.9	Jaune	Oui	Fort	Non	Non	Sud	229	Non	NA	NA
28	184	1272	262	78.6	Jaune	Non	Moyen	Oui	Non	Sud	186	Oui	NA	NA
29	166	1104	256	81.3	Rouge	Non	Fort	Non	Non	Sud	163	Non	NA	NA
30	231	1614	298	85.5	Rouge	Non	Fort	Non	Non	Sud	237	Non	NA	NA
31	209	1309	280	81.9	Jaune	Non	Faible	Oui	Non	Sud	217	Oui	NA	NA
32	NA	NA	NA	NA	Jaune	Oui	Tres.fort	Non	Non	Est	193	Non	NA	NA
