Date,Value
1967-12-31,373178990592.0
1968-12-31,387017998336.0
1969-12-31,387912007680.0
1970-12-31,411717992448.0
1971-12-31,422295011328.0
1972-12-31,446974001152.0
1973-12-31,440470011904.0
1974-12-31,433735991296.0
1975-12-31,484158013440.0
1976-12-31,550116982784.0
1977-12-31,585041969152.0
1978-12-31,576480018432.0
1979-12-31,636409020416.0
1980-12-31,608878985216.0
1981-12-31,582018007040.0
1982-12-31,555026022400.0
1983-12-31,581655986176.0
1984-12-31,607072026624.0
1985-12-31,538131005440.0
1986-12-31,583524024320.0
1987-12-31,580499996672.0
1988-12-31,589100023808.0
1989-12-31,658400018432.0
1990-12-31,646201999360.0
1991-12-31,656645029888.0
1992-12-31,711364968448.0
1993-12-31,696146001920.0
1994-12-31,702495981568.0
1995-12-31,746113990656.0
1996-12-31,770126970880.0
1997-12-31,822195978240.0
1998-12-31,871800000000.0
1999-12-31,930514100001.06
2000-12-31,960290551201.1
2001-12-31,1076485707896.4
2002-12-31,1121195592686.0
2003-12-31,1204628185428.6
2004-12-31,1230955578241.6
2005-12-31,1305795145949.9
2006-12-31,1417810000000.0
2007-12-31,1478750000000.0
2008-12-31,1552370000000.0
2009-12-31,1621565681689.9
2010-12-31,1715929693858.9
2011-12-31,1762776479366.9
2012-12-31,1741835156400.3
